player,team,week,opponent,points,minutes,goal,assist,cleanSheet,goalsConceded,influence,creativity,threat,iCTIndex
Sigurdsson,EVE,5,WHU (H) 1-3,7,90,1,0,0,3,41,12.5,61,11.5
Sigurdsson,EVE,6,ARS (A) 2-0,2,90,0,0,0,2,19.4,59.4,16,9.5
Sigurdsson,EVE,7,FUL (H) 3-0,14,90,2,0,1,0,83.2,64.1,60,20.7
Sigurdsson,EVE,8,LEI (A) 1-2,10,90,1,0,0,1,57,62,31,15
Sigurdsson,EVE,9,CRY (H) 2-0,3,90,0,0,1,0,8.4,40.1,39,8.8
Sigurdsson,EVE,10,MUN (A) 2-1,8,90,1,0,0,2,44,28.5,36,10.9
Sigurdsson,EVE,11,BHA (H) 3-1,5,89,0,1,0,1,17.2,31.5,18,6.7
Sigurdsson,EVE,12,CHE (A) 0-0,3,75,0,0,1,0,22.6,12.8,7,4.2
Sigurdsson,EVE,13,CAR (H) 1-0,11,90,1,0,1,0,42.8,33.6,38,11.4
Sigurdsson,EVE,14,LIV (A) 1-0,2,90,0,0,1,0,8.6,4.6,24,3.7
Sigurdsson,EVE,15,NEW (H) 1-1,2,69,0,0,0,1,9.8,30.2,18,5.8
Sigurdsson,EVE,16,WAT (H) 2-2,0,90,0,0,0,2,11.2,24.3,68,10.4
Sigurdsson,EVE,17,MCI (A) 3-1,2,80,0,0,0,3,2.8,0.8,2,0.6
Sigurdsson,EVE,18,TOT (H) 2-6,7,82,1,0,0,6,41.4,13.8,36,9.1
Sigurdsson,EVE,19,BUR (A) 1-5,11,90,1,1,0,1,52.2,28.8,52,13.3
Sigurdsson,EVE,20,BHA (A) 1-0,1,25,0,0,0,0,0.6,14.8,1,1.6
Sigurdsson,EVE,21,LEI (H) 0-1,2,90,0,0,0,1,11.8,40.4,30,8.2
Sigurdsson,EVE,22,BOU (H) 2-0,3,90,0,0,1,0,7.6,40.3,1,4.9
Sigurdsson,EVE,23,SOU (A) 2-1,9,90,1,0,0,2,49.2,2.3,54,10.6
Sigurdsson,EVE,24,HUD (A) 0-1,3,90,0,0,1,0,27.6,20.2,39,8.7
Sigurdsson,EVE,25,WOL (H) 1-3,2,90,0,0,0,3,10.8,18.5,63,9.2
Sigurdsson,EVE,25,MCI (H) 0-2,1,27,0,0,0,1,3.8,1.5,0,0.5
Sigurdsson,EVE,26,WAT (A) 1-0,2,73,0,0,0,1,8.4,4.6,6,1.9
Sigurdsson,EVE,28,CAR (A) 0-3,16,87,2,0,1,0,75.8,15.3,34,12.5
Sigurdsson,EVE,29,LIV (H) 0-0,3,90,0,0,1,0,14.2,17.8,6,3.8
Sigurdsson,EVE,30,NEW (A) 3-2,2,90,0,0,0,3,7.4,3,41,5.1
Sigurdsson,EVE,31,CHE (H) 2-0,6,85,1,0,1,0,48,43,36,12.7
Sigurdsson,EVE,32,WHU (A) 0-2,6,84,0,1,1,0,37,63.9,56,15.7
Sigurdsson,EVE,33,ARS (H) 1-0,3,90,0,0,1,0,14.8,55,68,13.8
Sigurdsson,EVE,34,FUL (A) 2-0,2,73,0,0,0,2,7.2,32.3,0,4
Sigurdsson,EVE,35,MUN (H) 4-0,14,90,1,1,1,0,62.4,55.1,15,13.3
Fraser,BOU,1,CAR (H) 2-0,11,90,1,0,1,0,42.8,43.3,25,11.1
Fraser,BOU,2,WHU (A) 1-2,6,90,0,1,0,1,30.8,27.5,14,7.2
Fraser,BOU,3,EVE (H) 2-2,2,90,0,0,0,2,25,49,25,9.9
Fraser,BOU,4,CHE (A) 2-0,2,90,0,0,0,2,4,2.2,26,3.2
Fraser,BOU,5,LEI (H) 4-2,18,90,2,1,0,2,88.4,22.2,38,14.9
Fraser,BOU,6,BUR (A) 4-0,2,90,0,0,0,4,15.2,51.2,37,10.3
Fraser,BOU,7,CRY (H) 2-1,1,90,0,0,0,1,14.2,56.6,0,7.1
Fraser,BOU,8,WAT (A) 0-4,6,65,0,1,1,0,21.6,34,0,5.6
Fraser,BOU,9,SOU (H) 0-0,3,76,0,0,1,0,7.4,16.8,2,2.6
Fraser,BOU,10,FUL (A) 0-3,11,88,0,2,1,0,43.2,37.4,13,9.4
Fraser,BOU,11,MUN (H) 1-2,2,73,0,0,0,1,14.6,36,40,9.1
Fraser,BOU,12,NEW (A) 2-1,6,90,0,1,0,2,35.8,76.2,31,14.3
Fraser,BOU,13,ARS (H) 1-2,2,90,0,0,0,2,17.4,14.9,9,4.1
Fraser,BOU,14,MCI (A) 3-1,2,71,0,0,0,2,3.6,22.9,4,3.1
Fraser,BOU,15,HUD (H) 2-1,12,86,1,1,0,1,56.6,30.1,17,10.4
